"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",9,"9/30","SIRT1/ATM/BRCA2/MTOR/MLH1/MSH2/ERCC1/CDK1/H2AFX"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/30",""
"GO:0032504","GO:0032504","multicellular organism reproduction",8,"8/30","SIRT1/ATM/BRCA2/MTOR/MLH1/MSH2/ERCC1/H2AFX"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/30",""
"GO:0051321","GO:0051321","meiotic cell cycle",7,"7/30","ATM/BRCA2/MLH1/MSH2/RAD51/CDK2/H2AFX"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",30,"30/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/XRCC1/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN/FTO"
"GO:0009056","GO:0009056","catabolic process",13,"13/30","TP53/EGFR/SIRT1/ATM/MTOR/MLH1/ABL1/OGG1/UBC/CHEK2/CDK1/CDK2/HMGB1"
"GO:0009058","GO:0009058","biosynthetic process",24,"24/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/BRCA2/MTOR/APEX1/PCNA/ERCC2/EP300/ABL1/MAPK8/NPM1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN"
"GO:0009892","GO:0009892","negative regulation of metabolic process",22,"22/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/BRCA2/MTOR/MLH1/APEX1/ERCC2/EP300/MSH2/ABL1/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK2/H2AFX/HMGB1"
"GO:0009893","GO:0009893","positive regulation of metabolic process",25,"25/30","TP53/BRCA1/EGFR/SIRT1/PARP1/MGMT/BRCA2/MTOR/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN"
"GO:0010166","GO:0010166","wax metabolic process",0,"0/30",""
