"","ID","Description","Count","GeneRatio","geneID"
"GO:0004129","GO:0004129","cytochrome-c oxidase activity",0,"0/30",""
"GO:0045153","GO:0045153","electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity",0,"0/30",""
"GO:0045154","GO:0045154","electron transporter, transferring electrons within cytochrome c oxidase complex activity",0,"0/30",""
"GO:0045155","GO:0045155","electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity",0,"0/30",""
"GO:0045156","GO:0045156","electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity",0,"0/30",""
"GO:0045157","GO:0045157","electron transporter, transferring electrons within the noncyclic electron transport pathway of photosynthesis activity",0,"0/30",""
"GO:0045158","GO:0045158","electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity",0,"0/30",""
"GO:0046028","GO:0046028","electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity",0,"0/30",""
"GO:0000989","GO:0000989","transcription factor activity, transcription factor binding",5,"5/30","BRCA1/SIRT1/APEX1/EP300/NPM1"
"GO:0000990","GO:0000990","transcription factor activity, core RNA polymerase binding",0,"0/30",""
"GO:0001070","GO:0001070","RNA binding transcription factor activity",0,"0/30",""
"GO:0003700","GO:0003700","transcription factor activity, sequence-specific DNA binding",3,"3/30","TP53/EP300/HMGB1"
"GO:0000150","GO:0000150","recombinase activity",1,"1/30","RAD51"
"GO:0000384","GO:0000384","first spliceosomal transesterification activity",0,"0/30",""
"GO:0000386","GO:0000386","second spliceosomal transesterification activity",0,"0/30",""
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/30",""
"GO:0004803","GO:0004803","transposase activity",0,"0/30",""
"GO:0016491","GO:0016491","oxidoreductase activity",2,"2/30","APEX1/FTO"
"GO:0008265","GO:0008265","Mo-molybdopterin cofactor sulfurase activity",0,"0/30",""
"GO:0008907","GO:0008907","integrase activity",0,"0/30",""
"GO:0008987","GO:0008987","quinolinate synthetase A activity",0,"0/30",""
"GO:0009009","GO:0009009","site-specific recombinase activity",0,"0/30",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/30",""
"GO:0010280","GO:0010280","UDP-L-rhamnose synthase activity",0,"0/30",""
"GO:0016217","GO:0016217","N-ethylammeline chlorohydrolase activity",0,"0/30",""
"GO:0016740","GO:0016740","transferase activity",14,"14/30","BRCA1/EGFR/PARP1/ATM/MGMT/BRCA2/MTOR/ERCC2/EP300/ABL1/MAPK8/CHEK2/CDK1/CDK2"
"GO:0016787","GO:0016787","hydrolase activity",10,"10/30","SIRT1/MLH1/APEX1/PCNA/ERCC2/MSH2/ERCC1/OGG1/RAD51/WRN"
"GO:0016829","GO:0016829","lyase activity",3,"3/30","APEX1/OGG1/HMGB1"
"GO:0016853","GO:0016853","isomerase activity",0,"0/30",""
"GO:0016874","GO:0016874","ligase activity",1,"1/30","BRCA1"
"GO:0019239","GO:0019239","deaminase activity",0,"0/30",""
"GO:0032451","GO:0032451","demethylase activity",1,"1/30","FTO"
"GO:0043336","GO:0043336","site-specific telomere resolvase activity",0,"0/30",""
"GO:0043364","GO:0043364","catalysis of free radical formation",0,"0/30",""
"GO:0044825","GO:0044825","retroviral strand transfer activity",0,"0/30",""
"GO:0046572","GO:0046572","versicolorin B synthase activity",0,"0/30",""
"GO:0046905","GO:0046905","phytoene synthase activity",0,"0/30",""
"GO:0070283","GO:0070283","radical SAM enzyme activity",0,"0/30",""
"GO:1990055","GO:1990055","phenylacetaldehyde synthase activity",0,"0/30",""
"GO:0003735","GO:0003735","structural constituent of ribosome",0,"0/30",""
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/30",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",0,"0/30",""
"GO:0005201","GO:0005201","extracellular matrix structural constituent",0,"0/30",""
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/30",""
"GO:0005213","GO:0005213","structural constituent of chorion",0,"0/30",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/30",""
